CustomerID,ValueSegment,TenureBucket,RecencyFlag,ComplaintResolved,SatisfactionScore,MonthlyRevenue,annual_revenue_at_risk,RiskTier,churn
CUST00478,"High Value","0-3 Months",Dormant,No,5,53527.55,642331,CRITICAL,0
CUST04842,"High Value","6-12 Months","At Risk",No,3,30041.68,360500,CRITICAL,0
CUST00531,"High Value","24+ Months",Dormant,No,3,21067.1,252805,CRITICAL,0
CUST03077,"High Value","0-3 Months",Dormant,No,3,18892.17,226706,CRITICAL,1
CUST04854,"High Value","24+ Months","At Risk",No,2,16979.4,203753,CRITICAL,0
CUST01967,"High Value","24+ Months",Dormant,No,4,15582.17,186986,CRITICAL,1
CUST02835,"High Value","6-12 Months",Dormant,No,5,14946.04,179352,CRITICAL,1
CUST04123,"High Value","6-12 Months","At Risk",No,1,14907.2,178886,CRITICAL,1
CUST04478,"High Value","3-6 Months","At Risk",No,2,14595.17,175142,CRITICAL,1
CUST02586,"High Value","6-12 Months",Dormant,No,2,14287.72,171453,CRITICAL,0
CUST01491,"High Value","6-12 Months",Dormant,No,5,14042.81,168514,CRITICAL,0
CUST01338,"High Value","6-12 Months",Dormant,No,1,12812.28,153747,CRITICAL,1
CUST04438,"High Value","6-12 Months",Dormant,No,3,12159.72,145917,CRITICAL,1
CUST02219,"High Value","6-12 Months","At Risk",No,5,12087.9,145055,CRITICAL,0
CUST03112,"High Value","24+ Months","At Risk",No,3,11848.66,142184,CRITICAL,1
CUST01870,"High Value","24+ Months",Dormant,No,5,11440.62,137287,CRITICAL,0
CUST03508,"High Value","3-6 Months",Dormant,No,3,11289.1,135469,CRITICAL,1
CUST04508,"High Value","6-12 Months",Dormant,No,1,10874.92,130499,CRITICAL,1
CUST00890,"High Value","6-12 Months",Dormant,No,3,10657.05,127885,CRITICAL,1
CUST01721,"High Value","0-3 Months","At Risk",No,4,10577.74,126933,CRITICAL,0
CUST00870,"High Value","12-24 Months",Dormant,No,5,10225.28,122703,CRITICAL,1
CUST00177,"High Value","12-24 Months","At Risk",No,4,10175.91,122111,CRITICAL,0
