CustomerID,Gender,Age,MaritalStatus,CityTier,PreferredDevice,PreferredPaymentMode,PreferredCategory,RegistrationDate,TenureMonths,OrdersPerMonth,AvgOrderValue,TotalOrders,TotalSpend,MonthlyRevenue,CLV_Estimate,DaysSinceLastOrder,WarehouseToDoorDays,SatisfactionScore,ComplaintsRaised,ComplaintResolved,CashbackReceived,CouponUsedCount,ReturnedOrders,AppLoginsPerMonth,WishlistItems,Churn,ChurnDate,ReturnRate,TenureBucket,ValueSegment,UnresolvedComplaint,RecencyFlag
CUST00001,Male,57,Married,Tier 2,Desktop,Debit Card,Grocery,2021-12-29,36,2.6,558.3,94,52480.2,1451.58,34837.92,20,4.6,5,2,Yes,21.09,5,25,12,6,0,,0.266,24+ Months,Mid Value,0,Active
CUST00002,Female,24,Married,Tier 2,Mobile,Credit Card,Fashion,2022-06-30,30,1.4,860.89,42,36157.38,1205.25,0.0,137,3.3,4,1,Yes,199.33,3,4,6,3,1,2024-04-14,0.095,24+ Months,Mid Value,0,Dormant
CUST00003,Female,49,Single,Tier 3,Mobile,Wallet,Electronics,2023-07-01,18,0.5,567.57,9,5108.13,283.79,0.0,141,5.8,4,0,No Complaint,510.23,2,1,2,6,1,2023-10-23,0.111,12-24 Months,Low Value,0,Dormant
CUST00004,Female,36,Married,Tier 2,Mobile,Wallet,Home & Kitchen,2024-08-31,4,1.6,1789.6,6,10737.6,2863.36,0.0,177,1.0,3,2,Yes,184.95,3,2,25,4,1,2024-09-03,0.333,3-6 Months,High Value,0,Dormant
CUST00005,Male,23,Married,Tier 2,Mobile,Wallet,Home & Kitchen,2024-12-01,1,2.6,1357.73,3,4073.19,3530.1,84722.4,13,5.6,5,1,Yes,137.2,5,0,3,5,0,,0.0,0-3 Months,High Value,0,Active
CUST00006,Male,37,Single,Tier 1,Desktop,Net Banking,Grocery,2024-10-31,2,0.5,273.44,1,273.44,136.72,0.0,160,7.2,1,1,Yes,125.98,3,0,4,2,1,2024-12-17,0.0,0-3 Months,Low Value,0,Dormant
CUST00007,Male,44,Married,Tier 1,Mobile,Net Banking,Beauty,2024-07-01,6,2.4,1457.56,14,20405.84,3498.14,83955.36,57,5.9,5,0,No Complaint,161.64,2,3,4,2,0,,0.214,3-6 Months,High Value,0,Slipping
CUST00008,Female,60,Single,Tier 3,Mobile,UPI,Home & Kitchen,2024-01-31,11,2.6,316.62,29,9181.98,823.21,0.0,59,1.6,4,1,Yes,223.2,1,2,4,4,1,2024-06-19,0.069,6-12 Months,Low Value,0,Slipping
CUST00009,Female,54,Single,Tier 2,Tablet,COD,Sports,2021-12-29,36,0.5,474.44,18,8539.92,237.22,5693.28,23,7.1,2,0,No Complaint,285.25,2,1,8,2,0,,0.056,24+ Months,Low Value,0,Active
CUST00010,Female,24,Single,Tier 3,Desktop,COD,Electronics,2024-04-01,9,1.4,1513.2,13,19671.6,2118.48,0.0,177,3.5,5,0,No Complaint,215.71,8,0,3,3,1,2024-08-04,0.0,6-12 Months,Mid Value,0,Dormant
CUST00011,Male,22,Married,Tier 1,Desktop,Wallet,Grocery,2024-01-31,11,8.3,373.11,91,33953.01,3096.81,0.0,176,4.9,3,2,No,219.76,6,15,19,6,1,2024-05-24,0.165,6-12 Months,High Value,1,Dormant
CUST00012,Female,28,Married,Tier 2,Tablet,Debit Card,Electronics,2022-12-30,24,5.4,692.29,130,89997.7,3738.37,89720.88,155,6.8,2,1,Yes,545.58,2,8,7,6,0,,0.062,12-24 Months,High Value,0,Dormant
CUST00013,Female,32,Single,Tier 1,Mobile,UPI,Fashion,2024-10-01,3,1.3,1527.78,4,6111.12,1986.11,0.0,17,3.4,3,1,No,413.29,5,1,17,3,1,2024-10-18,0.25,0-3 Months,Mid Value,1,Active
CUST00014,Male,20,Single,Tier 1,Desktop,Debit Card,Electronics,2021-12-29,36,1.1,1200.68,40,48027.2,1320.75,31698.0,151,4.8,5,0,No Complaint,312.63,0,18,20,5,0,,0.45,24+ Months,Mid Value,0,Dormant
